data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 89.0000
minimum grain size (microns)= 60.0000
maximum grain size=(microns) 104.000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.65612 7.62202e-006
     0.229100      1.65612 8.00160e-009
     0.236100      1.65612 1.70274e-005
     0.242100      1.65612 7.02746e-005
     0.248100      1.65612  0.000145066
     0.253600      1.65612  0.000176772
     0.258600      1.65612  0.000173920
     0.263600      1.65612  0.000164589
     0.268600      1.65612  0.000163359
     0.273100      1.65612  0.000172413
     0.277100      1.65612  0.000169339
     0.281100      1.65612  0.000172009
     0.285100      1.65612  0.000171817
     0.289100      1.65612  0.000169621
     0.293100      1.65612  0.000170207
     0.297100      1.65612  0.000170259
     0.301100      1.65612  0.000170508
     0.305100      1.65612  0.000162830
     0.309100      1.65612  0.000162515
     0.313100      1.65612  0.000157070
     0.317100      1.65612  0.000149020
     0.321100      1.65612  0.000141440
     0.325100      1.65612  0.000130745
     0.329100      1.65612  0.000118653
     0.333100      1.65612  0.000109259
     0.337100      1.65612  0.000100453
     0.341100      1.65612 9.05686e-005
     0.345100      1.65612 8.35197e-005
     0.349100      1.65612 7.61092e-005
     0.353100      1.65612 7.31986e-005
     0.357100      1.65612 6.95994e-005
     0.360600      1.65612 6.52681e-005
     0.363600      1.65612 6.23630e-005
     0.366600      1.65612 6.17829e-005
     0.369600      1.65612 5.89493e-005
     0.372600      1.65612 5.75730e-005
     0.375600      1.65612 5.62533e-005
     0.378600      1.65612 5.43189e-005
     0.381100      1.65612 5.28756e-005
     0.383100      1.65612 5.30546e-005
     0.385100      1.65612 5.26685e-005
     0.387100      1.65612 5.19379e-005
     0.389100      1.65612 5.07487e-005
     0.391100      1.65612 5.07677e-005
     0.393100      1.65612 5.03266e-005
     0.395100      1.65612 4.99545e-005
     0.397100      1.65612 4.86022e-005
     0.399100      1.65612 4.91583e-005
     0.401100      1.65612 4.93564e-005
     0.403100      1.65612 4.83532e-005
     0.405100      1.65612 4.68124e-005
     0.407100      1.65612 4.62433e-005
     0.409100      1.65612 4.58832e-005
     0.411100      1.65612 4.48700e-005
     0.412800      1.65612 4.48230e-005
     0.415800      1.65612 4.53131e-005
     0.418800      1.65612 4.46999e-005
     0.421800      1.65612 4.46439e-005
     0.424800      1.65612 4.47730e-005
     0.427800      1.65612 4.50650e-005
     0.430800      1.65612 4.51660e-005
     0.433800      1.65612 4.54571e-005
     0.436800      1.65612 4.56741e-005
     0.439800      1.65612 4.55751e-005
     0.442800      1.65612 4.66203e-005
     0.445800      1.65612 4.76060e-005
     0.448800      1.65612 4.78011e-005
     0.451300      1.65612 4.77410e-005
     0.453300      1.65612 4.82301e-005
     0.455300      1.65612 4.83162e-005
     0.457300      1.65612 4.77170e-005
     0.459300      1.65612 4.75960e-005
     0.461300      1.65612 4.79561e-005
     0.463300      1.65612 4.71474e-005
     0.465300      1.65612 4.65913e-005
     0.467300      1.65612 4.64883e-005
     0.469300      1.65612 4.70934e-005
     0.471300      1.65612 4.64543e-005
     0.473300      1.65612 4.56881e-005
     0.475300      1.65612 4.47470e-005
     0.477300      1.65612 4.44579e-005
     0.479300      1.65612 4.36927e-005
     0.481300      1.65612 4.32266e-005
     0.483300      1.65612 4.30566e-005
     0.485300      1.65612 4.29606e-005
     0.487300      1.65612 4.26885e-005
     0.489300      1.65612 4.25135e-005
     0.491300      1.65612 4.21629e-005
     0.493300      1.65612 4.19349e-005
     0.495300      1.65612 4.13808e-005
     0.497300      1.65612 4.01595e-005
     0.499300      1.65612 3.87252e-005
     0.501300      1.65612 3.74715e-005
     0.503300      1.65612 3.71374e-005
     0.505300      1.65612 3.64173e-005
     0.507300      1.65612 3.51720e-005
     0.509300      1.65612 3.48350e-005
     0.511300      1.65612 3.47570e-005
     0.513300      1.65612 3.38928e-005
     0.515300      1.65612 3.34327e-005
     0.517300      1.65612 3.30416e-005
     0.519300      1.65612 3.24130e-005
     0.521300      1.65612 3.22780e-005
     0.523300      1.65612 3.20009e-005
     0.525300      1.65612 3.16508e-005
     0.527300      1.65612 3.12988e-005
     0.529300      1.65612 3.09697e-005
     0.531300      1.65612 3.02866e-005
     0.533300      1.65612 3.00715e-005
     0.535300      1.65612 2.97384e-005
     0.537300      1.65612 2.93094e-005
     0.539300      1.65612 2.95124e-005
     0.541300      1.65612 2.90563e-005
     0.543300      1.65612 2.86462e-005
     0.545300      1.65612 2.83752e-005
     0.547300      1.65612 2.83382e-005
     0.549300      1.65612 2.81591e-005
     0.551300      1.65612 2.79551e-005
     0.553300      1.65612 2.78911e-005
     0.555300      1.65612 2.81811e-005
     0.557300      1.65612 2.78071e-005
     0.559300      1.65612 2.80741e-005
     0.561300      1.65612 2.80551e-005
     0.563300      1.65612 2.85632e-005
     0.565300      1.65612 2.83512e-005
     0.567300      1.65612 2.88873e-005
     0.569300      1.65612 2.89893e-005
     0.571300      1.65612 2.90913e-005
     0.573300      1.65612 2.89973e-005
     0.575300      1.65612 2.93684e-005
     0.577300      1.65612 2.98915e-005
     0.579300      1.65612 2.99955e-005
     0.581300      1.65612 3.06246e-005
     0.583300      1.65612 3.09567e-005
     0.585300      1.65612 3.08607e-005
     0.587300      1.65612 3.17298e-005
     0.589300      1.65612 3.20429e-005
     0.591300      1.65612 3.23060e-005
     0.593300      1.65612 3.23640e-005
     0.595300      1.65612 3.31496e-005
     0.597300      1.65612 3.36547e-005
     0.599300      1.65612 3.39518e-005
     0.601100      1.65612 3.41068e-005
     0.602700      1.65612 3.49170e-005
     0.604300      1.65612 3.55461e-005
     0.605900      1.65612 3.57752e-005
     0.607500      1.65612 3.60052e-005
     0.609100      1.65612 3.62913e-005
     0.610700      1.65612 3.64683e-005
     0.612300      1.65612 3.72505e-005
     0.613900      1.65612 3.72374e-005
     0.615500      1.65612 3.83892e-005
     0.617100      1.65612 3.92473e-005
     0.618700      1.65612 3.95464e-005
     0.620300      1.65612 3.99885e-005
     0.621900      1.65612 4.03206e-005
     0.623500      1.65612 4.11117e-005
     0.625100      1.65612 4.13908e-005
     0.626700      1.65612 4.23100e-005
     0.628300      1.65612 4.28276e-005
     0.629900      1.65612 4.34367e-005
     0.631700      1.65612 4.37087e-005
     0.633700      1.65612 4.49500e-005
     0.635700      1.65612 4.51220e-005
     0.637700      1.65612 4.56261e-005
     0.639700      1.65612 4.57091e-005
     0.641700      1.65612 4.64313e-005
     0.643700      1.65612 4.65143e-005
     0.645700      1.65612 4.71824e-005
     0.647700      1.65612 4.68344e-005
     0.649700      1.65612 4.69174e-005
     0.651700      1.65612 4.79321e-005
     0.653700      1.65612 4.77981e-005
     0.655700      1.65612 4.80691e-005
     0.657700      1.65612 4.81841e-005
     0.659700      1.65612 4.82051e-005
     0.661700      1.65612 4.84462e-005
     0.663700      1.65612 4.92283e-005
     0.665700      1.65612 4.93124e-005
     0.667700      1.65612 4.98135e-005
     0.670200      1.65612 5.00005e-005
     0.673200      1.65612 5.02235e-005
     0.676200      1.65612 4.99285e-005
     0.679200      1.65612 5.00845e-005
     0.682200      1.65612 5.01095e-005
     0.685200      1.65612 5.17469e-005
     0.688200      1.65612 5.28736e-005
     0.691200      1.65612 5.37447e-005
     0.694200      1.65612 5.52030e-005
     0.697200      1.65612 5.51670e-005
     0.700200      1.65612 5.66833e-005
