data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 1.00000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 45.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.450000      1.82508  0.000182749
     0.455000      1.82508  0.000181358
     0.460000      1.82508  0.000176975
     0.465000      1.82508  0.000170194
     0.470000      1.82508  0.000164052
     0.475000      1.82508  0.000159639
     0.480000      1.82508  0.000150745
     0.485000      1.82508  0.000143388
     0.490000      1.82508  0.000139513
     0.495000      1.82508  0.000138044
     0.500000      1.82508  0.000136167
     0.505000      1.82508  0.000130586
     0.510000      1.82508  0.000124594
     0.515000      1.82508  0.000119440
     0.520000      1.82508  0.000116027
     0.525000      1.82508  0.000113245
     0.530000      1.82508  0.000111156
     0.535000      1.82508  0.000108899
     0.540000      1.82508  0.000106334
     0.545000      1.82508  0.000103677
     0.550000      1.82508  0.000101281
     0.555000      1.82508  0.000100209
     0.560000      1.82508 9.91133e-005
     0.565000      1.82508 9.80681e-005
     0.570000      1.82508 9.72865e-005
     0.575000      1.82508 9.67724e-005
     0.580000      1.82508 9.57372e-005
     0.585000      1.82508 9.55471e-005
     0.590000      1.82508 9.50540e-005
     0.595000      1.82508 9.49080e-005
     0.600000      1.82508 9.51910e-005
     0.605000      1.82508 9.52430e-005
     0.610000      1.82508 9.55831e-005
     0.615000      1.82508 9.57662e-005
     0.620000      1.82508 9.56401e-005
     0.625000      1.82508 9.56531e-005
     0.630000      1.82508 9.51980e-005
     0.635000      1.82508 9.48060e-005
     0.640000      1.82508 9.40918e-005
     0.645000      1.82508 9.35937e-005
     0.650000      1.82508 9.30806e-005
     0.655000      1.82508 9.27856e-005
     0.660000      1.82508 9.28686e-005
     0.665000      1.82508 9.24720e-005
     0.670000      1.82508 9.25365e-005
     0.675000      1.82508 9.30676e-005
     0.680000      1.82508 9.39978e-005
     0.685000      1.82508 9.42048e-005
     0.690000      1.82508 9.48930e-005
     0.695000      1.82508 9.54171e-005
     0.700000      1.82508 9.61032e-005
     0.705000      1.82508 9.62933e-005
     0.710000      1.82508 9.73935e-005
     0.715000      1.82508 9.82472e-005
     0.720000      1.82508 9.91883e-005
     0.725000      1.82508  0.000100133
     0.730000      1.82508  0.000100652
     0.735000      1.82508  0.000101514
     0.740000      1.82508  0.000102641
     0.745000      1.82508  0.000103597
     0.750000      1.82508  0.000104293
     0.755000      1.82508  0.000105968
     0.760000      1.82508  0.000106670
     0.765000      1.82508  0.000108277
     0.770000      1.82508  0.000109898
     0.775000      1.82508  0.000111811
     0.780000      1.82508  0.000113835
     0.785000      1.82508  0.000115598
     0.790000      1.82508  0.000118137
     0.795000      1.82508  0.000120516
     0.800000      1.82508  0.000123310
     0.805000      1.82508  0.000125745
     0.810000      1.82508  0.000128309
     0.815000      1.82508  0.000131604
     0.820000      1.82508  0.000134539
     0.825000      1.82508  0.000137818
     0.830000      1.82508  0.000141247
     0.835000      1.82508  0.000144195
     0.840000      1.82508  0.000147711
     0.845000      1.82508  0.000152030
     0.850000      1.82508  0.000155978
     0.855000      1.82508  0.000158548
     0.860000      1.82508  0.000162594
     0.865000      1.82508  0.000166809
     0.870000      1.82508  0.000171317
     0.875000      1.82508  0.000174730
     0.880000      1.82508  0.000178302
     0.885000      1.82508  0.000180497
     0.890000      1.82508  0.000185697
     0.895000      1.82508  0.000189644
     0.900000      1.82508  0.000194994
     0.905000      1.82508  0.000197690
     0.910000      1.82508  0.000202922
     0.915000      1.82508  0.000206576
     0.920000      1.82508  0.000211431
     0.925000      1.82508  0.000216223
     0.930000      1.82508  0.000221214
     0.935000      1.82508  0.000224268
     0.940000      1.82508  0.000228697
     0.945000      1.82508  0.000234139
     0.950000      1.82508  0.000237859
     0.955000      1.82508  0.000243997
     0.960000      1.82508  0.000248809
     0.965000      1.82508  0.000251533
     0.970000      1.82508  0.000257600
     0.975000      1.82508  0.000262290
     0.980000      1.82508  0.000267926
     0.985000      1.82508  0.000272888
     0.990000      1.82508  0.000277756
     0.995000      1.82508  0.000282682
      1.00000      1.82508  0.000287821
      1.00500      1.82508  0.000290824
      1.01000      1.82508  0.000297488
      1.01500      1.82508  0.000302162
      1.02000      1.82508  0.000307371
      1.02500      1.82508  0.000311821
      1.03000      1.82508  0.000315652
      1.03500      1.82508  0.000320015
      1.04000      1.82508  0.000324082
      1.04500      1.82508  0.000326317
      1.05000      1.82508  0.000330779
      1.05500      1.82508  0.000334247
      1.06000      1.82508  0.000336177
      1.06500      1.82508  0.000338111
      1.07000      1.82508  0.000340750
      1.07500      1.82508  0.000341814
      1.08000      1.82508  0.000343227
      1.08500      1.82508  0.000344816
      1.09000      1.82508  0.000346048
      1.09500      1.82508  0.000345490
      1.10000      1.82508  0.000345098
      1.10500      1.82508  0.000345232
      1.11000      1.82508  0.000345356
      1.11500      1.82508  0.000343135
      1.12000      1.82508  0.000342515
      1.12500      1.82508  0.000341524
      1.13000      1.82508  0.000338545
      1.13500      1.82508  0.000337347
      1.14000      1.82508  0.000335241
      1.14500      1.82508  0.000332766
      1.15000      1.82508  0.000330994
      1.15500      1.82508  0.000328316
      1.16000      1.82508  0.000326520
      1.16500      1.82508  0.000324534
      1.17000      1.82508  0.000322180
      1.17500      1.82508  0.000320882
      1.18000      1.82508  0.000318859
      1.18500      1.82508  0.000317537
      1.19000      1.82508  0.000316025
      1.19500      1.82508  0.000315213
      1.20000      1.82508  0.000315103
      1.20500      1.82508  0.000316236
      1.21000      1.82508  0.000315035
      1.21500      1.82508  0.000314899
      1.22000      1.82508  0.000314934
      1.22500      1.82508  0.000315502
      1.23000      1.82508  0.000316065
      1.23500      1.82508  0.000316805
      1.24000      1.82508  0.000316994
      1.24500      1.82508  0.000318455
      1.25000      1.82508  0.000318633
      1.25500      1.82508  0.000319539
      1.26000      1.82508  0.000319337
      1.26500      1.82508  0.000320789
      1.27000      1.82508  0.000321129
      1.27500      1.82508  0.000322020
      1.28000      1.82508  0.000322163
      1.28500      1.82508  0.000322110
      1.29000      1.82508  0.000322613
      1.29500      1.82508  0.000323487
      1.30000      1.82508  0.000324547
      1.30500      1.82508  0.000324469
      1.31000      1.82508  0.000323815
      1.31500      1.82508  0.000323721
      1.32000      1.82508  0.000323048
      1.32500      1.82508  0.000323319
      1.33000      1.82508  0.000322056
      1.33500      1.82508  0.000322310
      1.34000      1.82508  0.000319881
      1.34500      1.82508  0.000319353
      1.35000      1.82508  0.000318815
      1.35500      1.82508  0.000318269
      1.36000      1.82508  0.000314649
      1.36500      1.82508  0.000313125
      1.37000      1.82508  0.000310635
      1.37500      1.82508  0.000309472
      1.38000      1.82508  0.000307918
      1.38500      1.82508  0.000303493
      1.39000      1.82508  0.000302300
      1.39500      1.82508  0.000300526
      1.40000      1.82508  0.000296460
      1.40500      1.82508  0.000294667
      1.41000      1.82508  0.000290591
      1.41500      1.82508  0.000289536
      1.42000      1.82508  0.000286769
      1.42500      1.82508  0.000281921
      1.43000      1.82508  0.000280647
      1.43500      1.82508  0.000276354
      1.44000      1.82508  0.000272436
      1.44500      1.82508  0.000268888
      1.45000      1.82508  0.000266267
      1.45500      1.82508  0.000262523
      1.46000      1.82508  0.000258217
      1.46500      1.82508  0.000255761
      1.47000      1.82508  0.000251266
      1.47500      1.82508  0.000248058
      1.48000      1.82508  0.000243377
      1.48500      1.82508  0.000240344
      1.49000      1.82508  0.000237486
      1.49500      1.82508  0.000234440
      1.50000      1.82508  0.000231205
      1.50500      1.82508  0.000227055
      1.51000      1.82508  0.000223267
      1.51500      1.82508  0.000220379
      1.52000      1.82508  0.000217303
      1.52500      1.82508  0.000214402
      1.53000      1.82508  0.000210954
      1.53500      1.82508  0.000207321
      1.54000      1.82508  0.000203327
      1.54500      1.82508  0.000201297
      1.55000      1.82508  0.000198007
      1.55500      1.82508  0.000195069
      1.56000      1.82508  0.000192124
      1.56500      1.82508  0.000188995
      1.57000      1.82508  0.000186393
      1.57500      1.82508  0.000183429
      1.58000      1.82508  0.000181168
      1.58500      1.82508  0.000178721
      1.59000      1.82508  0.000175559
      1.59500      1.82508  0.000173453
      1.60000      1.82508  0.000170808
      1.60500      1.82508  0.000169216
      1.61000      1.82508  0.000166381
      1.61500      1.82508  0.000163892
      1.62000      1.82508  0.000162453
      1.62500      1.82508  0.000159772
      1.63000      1.82508  0.000159026
      1.63500      1.82508  0.000157212
      1.64000      1.82508  0.000154862
      1.64500      1.82508  0.000152682
      1.65000      1.82508  0.000151730
      1.65500      1.82508  0.000150065
      1.66000      1.82508  0.000147330
      1.66500      1.82508  0.000146534
      1.67000      1.82508  0.000145024
      1.67500      1.82508  0.000143685
      1.68000      1.82508  0.000142694
      1.68500      1.82508  0.000141696
      1.69000      1.82508  0.000141048
      1.69500      1.82508  0.000139148
      1.70000      1.82508  0.000138133
      1.70500      1.82508  0.000137289
      1.71000      1.82508  0.000136083
      1.71500      1.82508  0.000135228
      1.72000      1.82508  0.000134369
      1.72500      1.82508  0.000134221
      1.73000      1.82508  0.000132812
      1.73500      1.82508  0.000132475
      1.74000      1.82508  0.000131956
      1.74500      1.82508  0.000131251
      1.75000      1.82508  0.000130903
      1.75500      1.82508  0.000130189
      1.76000      1.82508  0.000130015
      1.76500      1.82508  0.000129838
      1.77000      1.82508  0.000129294
      1.77500      1.82508  0.000129111
      1.78000      1.82508  0.000128559
      1.78500      1.82508  0.000128003
      1.79000      1.82508  0.000127443
      1.79500      1.82508  0.000127246
      1.80000      1.82508  0.000126863
      1.80500      1.82508  0.000126846
      1.81000      1.82508  0.000126827
      1.81500      1.82508  0.000126434
      1.82000      1.82508  0.000126783
      1.82500      1.82508  0.000126198
      1.83000      1.82508  0.000126731
      1.83500      1.82508  0.000126328
      1.84000      1.82508  0.000126297
      1.84500      1.82508  0.000125699
      1.85000      1.82508  0.000126039
      1.85500      1.82508  0.000126191
      1.86000      1.82508  0.000126152
      1.86500      1.82508  0.000125542
      1.87000      1.82508  0.000126830
      1.87500      1.82508  0.000126597
      1.88000      1.82508  0.000125214
      1.88500      1.82508  0.000125738
      1.89000      1.82508  0.000126648
      1.89500      1.82508  0.000126790
      1.90000      1.82508  0.000126739
      1.90500      1.82508  0.000127459
      1.91000      1.82508  0.000126436
      1.91500      1.82508  0.000127350
      1.92000      1.82508  0.000127098
      1.92500      1.82508  0.000127820
      1.93000      1.82508  0.000127760
      1.93500      1.82508  0.000128091
      1.94000      1.82508  0.000128422
      1.94500      1.82508  0.000128950
      1.95000      1.82508  0.000128886
      1.95500      1.82508  0.000129415
      1.96000      1.82508  0.000129746
      1.96500      1.82508  0.000129877
      1.97000      1.82508  0.000129808
      1.97500      1.82508  0.000129937
      1.98000      1.82508  0.000130468
      1.98500      1.82508  0.000130193
      1.99000      1.82508  0.000131329
      1.99500      1.82508  0.000131051
      2.00000      1.82508  0.000130772
      2.00500      1.82508  0.000131099
      2.01000      1.82508  0.000131222
      2.01500      1.82508  0.000131344
      2.02000      1.82508  0.000131261
      2.02500      1.82508  0.000131996
      2.03000      1.82508  0.000132116
      2.03500      1.82508  0.000131618
      2.04000      1.82508  0.000132354
      2.04500      1.82508  0.000132264
      2.05000      1.82508  0.000132796
      2.05500      1.82508  0.000132704
      2.06000      1.82508  0.000133443
      2.06500      1.82508  0.000133558
      2.07000      1.82508  0.000133463
      2.07500      1.82508  0.000133785
      2.08000      1.82508  0.000133687
      2.08500      1.82508  0.000134430
      2.09000      1.82508  0.000134963
      2.09500      1.82508  0.000135286
      2.10000      1.82508  0.000134972
      2.10500      1.82508  0.000135081
      2.11000      1.82508  0.000135615
      2.11500      1.82508  0.000135509
      2.12000      1.82508  0.000136043
      2.12500      1.82508  0.000135935
      2.13000      1.82508  0.000136039
      2.13500      1.82508  0.000136790
      2.14000      1.82508  0.000137110
      2.14500      1.82508  0.000137214
      2.15000      1.82508  0.000137968
      2.15500      1.82508  0.000138725
      2.16000      1.82508  0.000138392
      2.16500      1.82508  0.000138712
      2.17000      1.82508  0.000139471
      2.17500      1.82508  0.000140013
      2.18000      1.82508  0.000139893
      2.18500      1.82508  0.000140656
      2.19000      1.82508  0.000140536
      2.19500      1.82508  0.000141300
      2.20000      1.82508  0.000141177
      2.20500      1.82508  0.000141944
      2.21000      1.82508  0.000142265
      2.21500      1.82508  0.000142812
      2.22000      1.82508  0.000142910
      2.22500      1.82508  0.000143456
      2.23000      1.82508  0.000143779
      2.23500      1.82508  0.000144327
      2.24000      1.82508  0.000144423
      2.24500      1.82508  0.000144746
      2.25000      1.82508  0.000145523
      2.25500      1.82508  0.000146074
      2.26000      1.82508  0.000145941
      2.26500      1.82508  0.000146493
      2.27000      1.82508  0.000146816
      2.27500      1.82508  0.000147139
      2.28000      1.82508  0.000147463
      2.28500      1.82508  0.000147556
      2.29000      1.82508  0.000148805
      2.29500      1.82508  0.000148898
      2.30000      1.82508  0.000149455
      2.30500      1.82508  0.000149547
      2.31000      1.82508  0.000150106
      2.31500      1.82508  0.000150665
      2.32000      1.82508  0.000151225
      2.32500      1.82508  0.000151786
      2.33000      1.82508  0.000152821
      2.33500      1.82508  0.000153623
      2.34000      1.82508  0.000153714
      2.34500      1.82508  0.000153568
      2.35000      1.82508  0.000154610
      2.35500      1.82508  0.000154222
      2.36000      1.82508  0.000154071
      2.36500      1.82508  0.000154637
      2.37000      1.82508  0.000154724
      2.37500      1.82508  0.000154810
      2.38000      1.82508  0.000155377
      2.38500      1.82508  0.000155703
      2.39000      1.82508  0.000155545
      2.39500      1.82508  0.000155871
      2.40000      1.82508  0.000155953
      2.40500      1.82508  0.000156278
      2.41000      1.82508  0.000156847
      2.41500      1.82508  0.000156928
      2.42000      1.82508  0.000157253
      2.42500      1.82508  0.000156841
      2.43000      1.82508  0.000157657
      2.43500      1.82508  0.000158720
      2.44000      1.82508  0.000159046
      2.44500      1.82508  0.000159125
      2.45000      1.82508  0.000159202
      2.45500      1.82508  0.000160025
      2.46000      1.82508  0.000160102
      2.46500      1.82508  0.000160677
      2.47000      1.82508  0.000161253
      2.47500      1.82508  0.000161328
      2.48000      1.82508  0.000161152
      2.48500      1.82508  0.000162484
      2.49000      1.82508  0.000162559
      2.49500      1.82508  0.000162885
      2.50000      1.82508  0.000162958
      2.50500      1.82508  0.000164553
      2.51000      1.82508  0.000164881
      2.51500      1.82508  0.000165210
      2.52000      1.82508  0.000164772
      2.52500      1.82508  0.000164587
      2.53000      1.82508  0.000165682
      2.53500      1.82508  0.000165753
      2.54000      1.82508  0.000165308
      2.54500      1.82508  0.000165633
      2.55000      1.82508  0.000165443
      2.55500      1.82508  0.000164733
      2.56000      1.82508  0.000166091
      2.56500      1.82508  0.000166416
      2.57000      1.82508  0.000164661
      2.57500      1.82508  0.000165762
      2.58000      1.82508  0.000165562
      2.58500      1.82508  0.000166144
      2.59000      1.82508  0.000164112
      2.59500      1.82508  0.000164690
      2.60000      1.82508  0.000163959
