Absorbance of Forsterite, GRR 418, San Carlos, AZ, R.T.
from George Rossman, Sample thickness is 1.141 mm, 
oriented along the alpha optic axis
Wave., nm  absorbance
 1992.60,   0.00290
 1965.70,   0.00280
 1938.80,   0.00160
 1870.90,   0.00000
 1842.70,   0.00020
 1814.60,   0.00090
 1789.60,   0.00150
 1762.10,   0.00170
 1635.40,   0.01810
 1619.50,   0.02380
 1599.20,   0.03050
 1581.60,   0.03910
 1564.10,   0.04870
 1547.90,   0.05890
 1533.70,   0.06970
 1515.70,   0.08560
 1501.50,   0.10080
 1487.00,   0.11790
 1474.40,   0.13600
 1461.20,   0.15290
 1450.10,   0.16820
 1436.90,   0.18860
 1425.00,   0.20790
 1414.20,   0.22920
 1403.60,   0.24810
 1400.20,   0.25300
 1397.50,   0.25760
 1392.00,   0.26660
 1385.10,   0.28020
 1378.40,   0.29450
 1370.70,   0.31140
 1361.40,   0.32870
 1352.60,   0.34660
 1345.40,   0.36000
 1338.00,   0.37730
 1328.00,   0.39370
 1320.70,   0.40720
 1310.70,   0.42180
 1302.70,   0.43650
 1299.70,   0.44110
 1294.40,   0.44690
 1286.40,   0.45820
 1238.40,   0.51560
 1225.00,   0.52610
 1211.90,   0.53780
 1199.10,   0.54790
 1186.50,   0.55930
 1175.10,   0.57250
 1162.60,   0.58690
 1151.70,   0.60340
 1143.40,   0.61750
 1134.80,   0.63520
 1127.90,   0.65450
 1120.70,   0.67360
 1112.00,   0.69820
 1104.00,   0.72280
 1094.70,   0.75090
 1084.80,   0.77710
 1076.80,   0.79690
 1071.20,   0.81110
 1065.60,   0.82270
 1061.00,   0.82990
 1052.40,   0.83530
 1044.60,   0.83390
 1037.90,   0.82840
 1031.60,   0.82090
 1024.20,   0.80470
 1016.40,   0.78680
 1009.50,   0.76830
 1001.70,   0.73950
  993.50,   0.71200
  986.30,   0.68490
  979.20,   0.66220
  972.30,   0.63870
  966.40,   0.61430
  956.90,   0.59060
  947.20,   0.57010
  939.50,   0.55480
  929.20,   0.54560
  920.30,   0.53870
  908.40,   0.53780
  899.70,   0.53810
  889.30,   0.54040
  881.70,   0.54070
  870.80,   0.53840
  858.90,   0.53120
  849.40,   0.51470
  839.60,   0.49220
  826.60,   0.45650
  811.30,   0.40360
  796.40,   0.34730
  779.00,   0.27620
  766.00,   0.22720
  755.70,   0.19120
  742.30,   0.15290
  731.30,   0.12350
  719.30,   0.10040
  704.80,   0.07880
  699.90,   0.07210
  697.90,   0.06970
  691.80,   0.06220
  687.90,   0.05920
  683.90,   0.05640
  679.80,   0.05300
  674.70,   0.05090
  668.10,   0.05050
  661.40,   0.05110
  654.40,   0.05280
  647.80,   0.05480
  643.60,   0.05670
  639.50,   0.05760
  634.40,   0.05730
  631.30,   0.05530
  627.30,   0.05190
  622.90,   0.04730
  617.50,   0.04150
  612.70,   0.03630
  609.20,   0.03160
  603.70,   0.02570
  598.20,   0.02180
  590.80,   0.01850
  584.40,   0.01500
  576.10,   0.01230
  567.60,   0.01130
  562.00,   0.01110
  552.70,   0.01260
  545.70,   0.01540
  539.10,   0.01880
  533.40,   0.02360
  526.80,   0.02970
  521.20,   0.03500
  515.70,   0.03990
  510.20,   0.04410
  505.70,   0.04620
  501.40,   0.05130
  498.10,   0.05890
  496.70,   0.06300
  495.20,   0.06850
  494.10,   0.06910
  492.50,   0.06920
  490.40,   0.06950
  489.00,   0.06970
  487.20,   0.07090
  484.10,   0.07330
  478.80,   0.07730
  475.60,   0.08240
  473.30,   0.08740
  464.90,   0.10110
  460.50,   0.10670
  456.40,   0.11430
  453.50,   0.12050
  451.30,   0.12280
  449.50,   0.12210
  447.00,   0.12020
  445.20,   0.11850
  442.30,   0.11710
  439.90,   0.11800
  436.30,   0.12350
  432.90,   0.12660
  427.30,   0.13300
  421.80,   0.14180
  417.40,   0.14930
  413.80,   0.15790
  410.00,   0.16670
  407.70,   0.17370
  406.20,   0.18440
  405.50,   0.19290
  403.90,   0.20610
  403.20,   0.21190
  401.70,   0.21650
  400.60,   0.21520
  399.40,   0.21450
  397.70,   0.21200
  396.20,   0.21340
  394.70,   0.21640
  393.50,   0.21790
  391.50,   0.21820
  390.00,   0.21830
  388.40,   0.22090
  386.60,   0.22580
  385.00,   0.23060
  382.60,   0.23920
  378.30,   0.25500
  375.80,   0.26940
  372.50,   0.29150
  369.40,   0.32010
  366.10,   0.35070
  363.40,   0.38390
  360.00,   0.43350
  357.80,   0.47680
  354.60,   0.54130
  352.30,   0.59900
  349.90,   0.65600
  348.00,   0.71140
