Absorbance of Forsterite, GRR 418, San Carlos, AZ, R.T.
from George Rossman, Sample thickness is 0.66 mm, 
oriented along the gamma optic axis
Wave., nm  absorbance
 1993.10,   0.00330
 1975.40,   0.00220
 1955.80,   0.00250
 1931.00,   0.00160
 1886.70,   0.00110
 1868.50,   0.00000
 1853.20,   0.00020
 1830.90,   0.00070
 1806.00,   0.00150
 1781.00,   0.00220
 1756.70,   0.00140
 1650.20,   0.01160
 1633.40,   0.01470
 1610.80,   0.02000
 1587.40,   0.02850
 1569.70,   0.03770
 1550.80,   0.05110
 1531.50,   0.06600
 1507.60,   0.09040
 1495.20,   0.10490
 1480.50,   0.12640
 1465.60,   0.14870
 1454.30,   0.16760
 1444.50,   0.18570
 1436.60,   0.20270
 1428.50,   0.21920
 1418.90,   0.23900
 1411.40,   0.25450
 1403.50,   0.27650
 1397.50,   0.29430
 1390.80,   0.31320
 1383.80,   0.33320
 1375.90,   0.35680
 1366.00,   0.38260
 1357.70,   0.40880
 1352.10,   0.42720
 1346.50,   0.44660
 1340.00,   0.46960
 1331.60,   0.49380
 1324.90,   0.51830
 1318.90,   0.53650
 1311.30,   0.55970
 1306.50,   0.57460
 1300.70,   0.59180
 1292.00,   0.61590
 1284.40,   0.63500
 1277.80,   0.65010
 1268.00,   0.67020
 1261.40,   0.68390
 1252.70,   0.70070
 1246.30,   0.71360
 1235.50,   0.72980
 1229.00,   0.74040
 1218.30,   0.75550
 1208.80,   0.77040
 1202.50,   0.78030
 1193.30,   0.79420
 1183.50,   0.81330
 1176.60,   0.82960
 1167.30,   0.84730
 1159.30,   0.86580
 1154.50,   0.88490
 1150.10,   0.90540
 1142.80,   0.93150
 1139.30,   0.95610
 1132.30,   0.98490
 1127.80,   1.01440
 1121.90,   1.04880
 1117.10,   1.07760
 1114.60,   1.10040
 1113.10,   1.12140
 1108.40,   1.15380
 1104.80,   1.19230
 1100.40,   1.22830
 1098.20,   1.25390
 1094.40,   1.28090
 1091.90,   1.30580
 1089.50,   1.33350
 1086.30,   1.36190
 1083.20,   1.38810
 1080.70,   1.40940
 1076.90,   1.44130
 1070.50,   1.47690
 1065.60,   1.50150
 1060.80,   1.52040
 1057.00,   1.53510
 1052.90,   1.54450
 1047.70,   1.55050
 1043.60,   1.54780
 1038.90,   1.54160
 1034.90,   1.53310
 1031.80,   1.52340
 1027.00,   1.49780
 1021.90,   1.47050
 1017.10,   1.43300
 1010.20,   1.39250
 1004.90,   1.34570
  998.00,   1.29790
  993.50,   1.24740
  988.10,   1.19630
  984.90,   1.15400
  978.40,   1.09670
  974.30,   1.05330
  969.60,   1.00600
  965.70,   0.96850
  960.60,   0.91490
  956.30,   0.85790
  949.00,   0.79570
  942.60,   0.74090
  939.30,   0.69200
  931.90,   0.64770
  929.00,   0.60310
  919.70,   0.55420
  915.50,   0.51670
  910.10,   0.48230
  902.00,   0.44200
  894.70,   0.40350
  883.30,   0.36750
  877.00,   0.33870
  870.40,   0.31280
  858.90,   0.29070
  848.70,   0.26790
  834.20,   0.24270
  822.20,   0.22110
  811.20,   0.20120
  797.00,   0.17840
  786.50,   0.15960
  771.10,   0.12840
  751.40,   0.09760
  737.70,   0.08130
  724.90,   0.06460
  709.50,   0.05200
  698.70,   0.04520
  693.60,   0.04220
  691.10,   0.04060
  687.90,   0.03810
  683.80,   0.03590
  680.40,   0.03500
  676.20,   0.03390
  672.00,   0.03290
  667.40,   0.03300
  661.50,   0.03130
  657.80,   0.03180
  651.60,   0.03270
  646.80,   0.03420
  643.00,   0.03460
  637.60,   0.03480
  632.70,   0.03470
  628.60,   0.03410
  624.20,   0.03180
  620.30,   0.02940
  615.90,   0.02670
  609.90,   0.02470
  604.60,   0.02120
  598.70,   0.01830
  590.20,   0.01690
  582.10,   0.01590
  575.40,   0.01410
  568.70,   0.01290
  562.50,   0.01250
  555.10,   0.01290
  545.40,   0.01440
  536.00,   0.01670
  520.60,   0.02020
  516.10,   0.02110
  506.50,   0.02600
  503.20,   0.02900
  500.00,   0.03250
  495.90,   0.03690
  489.70,   0.04180
  484.90,   0.04390
  478.30,   0.04610
  473.90,   0.04880
  471.50,   0.05180
  470.70,   0.05250
  467.80,   0.05330
  465.20,   0.05460
  461.50,   0.05710
  458.60,   0.06190
  454.20,   0.06790
  452.50,   0.07070
  451.40,   0.07250
  448.20,   0.07680
  445.50,   0.07880
  443.20,   0.07860
  439.70,   0.07730
  436.10,   0.07870
  433.80,   0.07940
  430.80,   0.08000
  429.30,   0.07940
  426.30,   0.07720
  422.50,   0.07440
  419.10,   0.07240
  415.90,   0.07040
  412.40,   0.07080
  409.60,   0.07270
  407.50,   0.07440
  405.40,   0.07810
  403.60,   0.08410
  401.70,   0.09180
  400.50,   0.09610
  398.90,   0.09880
  396.90,   0.10340
  395.50,   0.10910
  393.20,   0.11800
  390.30,   0.12830
  387.80,   0.13680
  384.90,   0.14310
  382.80,   0.14710
  380.20,   0.14840
  378.20,   0.14760
  374.70,   0.14540
  371.20,   0.14490
  367.90,   0.14690
  365.00,   0.15120
  362.40,   0.15660
  360.10,   0.16570
  358.10,   0.17360
  355.90,   0.18540
  353.30,   0.19830
  350.30,   0.21890
  348.20,   0.23380
  345.70,   0.25410
  342.80,   0.27430
  340.40,   0.29160
  337.60,   0.31110
  334.60,   0.33440
  332.10,   0.35830
  328.10,   0.39720
