Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurements parallel to the a
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-320 inverse centimeters.

high frq. dielec. const=  2.713
Lorentz line parameters
center  width  strength
1066.7  0.0258  0.0780
1023.4  0.0173  0.1440
 999.9  0.0299  0.2880
 917.7  0.0318  0.0690
 743.4  0.0632  0.0380
 647.0  0.2667  0.1140
 525.4  0.0705  0.3660
 471.2  0.0412  1.2140
 416.4  0.1047  0.4010
 348.6  0.0440  0.1370

 wave.    freq.   calc.       real        imag.
micron    (cm-1)  refl.       index      index
31.2500   320.0  0.2320       2.854      0.1024
31.0559   322.0  0.2343       2.871      0.1092
30.8642   324.0  0.2367       2.889      0.1172
30.6748   326.0  0.2393       2.909      0.1267
30.4878   328.0  0.2421       2.930      0.1381
30.3030   330.0  0.2452       2.953      0.1522
30.1205   332.0  0.2486       2.978      0.1698
29.9401   334.0  0.2523       3.005      0.1922
29.7619   336.0  0.2563       3.033      0.2215
29.5858   338.0  0.2606       3.061      0.2603
29.4118   340.0  0.2650       3.086      0.3122
29.2398   342.0  0.2689       3.102      0.3808
29.0698   344.0  0.2713       3.096      0.4667
28.9017   346.0  0.2702       3.051      0.5594
28.7356   348.0  0.2633       2.957      0.6302
28.5714   350.0  0.2503       2.837      0.6446
28.4091   352.0  0.2351       2.733      0.5975
28.2486   354.0  0.2233       2.676      0.5191
28.0899   356.0  0.2172       2.661      0.4410
27.9330   358.0  0.2158       2.673      0.3778
27.7778   360.0  0.2172       2.698      0.3315
27.6243   362.0  0.2200       2.729      0.2992
27.4725   364.0  0.2236       2.762      0.2775
27.3224   366.0  0.2274       2.794      0.2635
27.1739   368.0  0.2312       2.826      0.2554
27.0270   370.0  0.2351       2.857      0.2518
26.8817   372.0  0.2389       2.887      0.2517
26.7380   374.0  0.2426       2.916      0.2545
26.5957   376.0  0.2463       2.945      0.2599
26.4550   378.0  0.2500       2.973      0.2676
26.3158   380.0  0.2537       3.001      0.2774
26.1780   382.0  0.2574       3.029      0.2894
26.0417   384.0  0.2611       3.056      0.3035
25.9067   386.0  0.2648       3.083      0.3198
25.7732   388.0  0.2684       3.109      0.3385
25.6410   390.0  0.2721       3.135      0.3596
25.5102   392.0  0.2758       3.160      0.3832
25.3807   394.0  0.2794       3.184      0.4096
25.2525   396.0  0.2829       3.206      0.4388
25.1256   398.0  0.2864       3.226      0.4707
25.0000   400.0  0.2896       3.244      0.5053
24.8756   402.0  0.2926       3.257      0.5422
24.7525   404.0  0.2953       3.267      0.5808
24.6305   406.0  0.2975       3.271      0.6201
24.5098   408.0  0.2992       3.269      0.6589
24.3902   410.0  0.3003       3.262      0.6954
24.2718   412.0  0.3007       3.249      0.7278
24.1546   414.0  0.3003       3.231      0.7541
24.0385   416.0  0.2993       3.211      0.7728
23.9234   418.0  0.2978       3.191      0.7827
23.8095   420.0  0.2961       3.174      0.7840
23.6967   422.0  0.2944       3.162      0.7772
23.5849   424.0  0.2931       3.157      0.7641
23.4742   426.0  0.2925       3.161      0.7468
23.3645   428.0  0.2929       3.175      0.7275
23.2558   430.0  0.2944       3.200      0.7085
23.1481   432.0  0.2972       3.234      0.6916
23.0415   434.0  0.3011       3.278      0.6786
22.9358   436.0  0.3062       3.330      0.6706
22.8311   438.0  0.3125       3.391      0.6687
22.7273   440.0  0.3197       3.460      0.6739
22.6244   442.0  0.3280       3.536      0.6872
22.5225   444.0  0.3373       3.620      0.7096
22.4215   446.0  0.3475       3.712      0.7425
22.3214   448.0  0.3587       3.812      0.7879
22.2222   450.0  0.3710       3.921      0.8480
22.1239   452.0  0.3844       4.038      0.9263
22.0264   454.0  0.3991       4.163       1.027
21.9298   456.0  0.4152       4.295       1.157
21.8341   458.0  0.4327       4.431       1.323
21.7391   460.0  0.4520       4.564       1.535
21.6450   462.0  0.4731       4.682       1.805
21.5517   464.0  0.4959       4.761       2.141
21.4592   466.0  0.5202       4.768       2.545
21.3675   468.0  0.5454       4.660       2.995
21.2766   470.0  0.5704       4.404       3.436
21.1864   472.0  0.5938       4.007       3.793
21.0970   474.0  0.6139       3.525       4.005
21.0084   476.0  0.6299       3.037       4.065
20.9205   478.0  0.6413       2.599       4.003
20.8333   480.0  0.6481       2.235       3.865
20.7469   482.0  0.6506       1.945       3.686
20.6612   484.0  0.6489       1.719       3.492
20.5761   486.0  0.6432       1.547       3.294
20.4918   488.0  0.6335       1.417       3.102
20.4082   490.0  0.6197       1.322       2.918
20.3252   492.0  0.6019       1.255       2.743
20.2429   494.0  0.5801       1.212       2.580
20.1613   496.0  0.5544       1.191       2.427
20.0803   498.0  0.5255       1.189       2.287
20.0000   500.0  0.4943       1.203       2.160
19.9203   502.0  0.4625       1.233       2.047
19.8413   504.0  0.4321       1.277       1.952
19.7628   506.0  0.4052       1.331       1.875
19.6850   508.0  0.3836       1.391       1.820
19.6078   510.0  0.3685       1.455       1.786
19.5312   512.0  0.3600       1.516       1.773
19.4553   514.0  0.3578       1.571       1.782
19.3798   516.0  0.3610       1.613       1.808
19.3050   518.0  0.3688       1.641       1.850
19.2308   520.0  0.3799       1.649       1.902
19.1571   522.0  0.3934       1.636       1.959
19.0840   524.0  0.4083       1.602       2.015
19.0114   526.0  0.4238       1.549       2.063
18.9394   528.0  0.4392       1.481       2.099
18.8679   530.0  0.4537       1.402       2.121
18.7970   532.0  0.4670       1.318       2.126
18.7266   534.0  0.4787       1.233       2.115
18.6567   536.0  0.4886       1.151       2.092
18.5874   538.0  0.4965       1.074       2.057
18.5185   540.0  0.5025       1.003       2.013
18.4502   542.0  0.5065      0.9399       1.963
18.3824   544.0  0.5085      0.8837       1.909
18.3150   546.0  0.5087      0.8343       1.851
18.2482   548.0  0.5070      0.7912       1.792
18.1818   550.0  0.5035      0.7540       1.732
18.1159   552.0  0.4984      0.7221       1.671
18.0505   554.0  0.4915      0.6948       1.610
17.9856   556.0  0.4830      0.6719       1.550
17.9211   558.0  0.4728      0.6529       1.491
17.8571   560.0  0.4611      0.6374       1.432
17.7936   562.0  0.4478      0.6252       1.374
17.7305   564.0  0.4329      0.6160       1.317
17.6678   566.0  0.4165      0.6097       1.260
17.6056   568.0  0.3987      0.6061       1.205
17.5439   570.0  0.3796      0.6051       1.151
17.4825   572.0  0.3592      0.6066       1.098
17.4216   574.0  0.3377      0.6106       1.046
17.3611   576.0  0.3154      0.6170      0.9951
17.3010   578.0  0.2923      0.6259      0.9456
17.2414   580.0  0.2690      0.6370      0.8977
17.1821   582.0  0.2456      0.6505      0.8514
17.1233   584.0  0.2226      0.6660      0.8069
17.0648   586.0  0.2002      0.6837      0.7646
17.0068   588.0  0.1790      0.7031      0.7244
16.9492   590.0  0.1590      0.7240      0.6867
16.8919   592.0  0.1407      0.7463      0.6515
16.8350   594.0  0.1241      0.7695      0.6189
16.7785   596.0  0.1093      0.7934      0.5889
16.7224   598.0  0.0963      0.8176      0.5613
16.6667   600.0  0.0849      0.8419      0.5362
16.6113   602.0  0.0752      0.8660      0.5134
16.5563   604.0  0.0668      0.8898      0.4926
16.5017   606.0  0.0597      0.9132      0.4738
16.4474   608.0  0.0538      0.9359      0.4567
16.3934   610.0  0.0487      0.9580      0.4411
16.3399   612.0  0.0446      0.9793      0.4270
16.2866   614.0  0.0411      0.9999      0.4141
16.2338   616.0  0.0382       1.020      0.4023
16.1812   618.0  0.0359       1.039      0.3914
16.1290   620.0  0.0340       1.057      0.3814
16.0772   622.0  0.0324       1.075      0.3722
16.0256   624.0  0.0312       1.092      0.3636
15.9744   626.0  0.0302       1.108      0.3556
15.9236   628.0  0.0295       1.123      0.3481
15.8730   630.0  0.0289       1.138      0.3411
15.8228   632.0  0.0285       1.153      0.3344
15.7729   634.0  0.0282       1.167      0.3281
15.7233   636.0  0.0280       1.180      0.3220
15.6740   638.0  0.0279       1.193      0.3162
15.6250   640.0  0.0279       1.205      0.3106
15.5763   642.0  0.0280       1.217      0.3052
15.5280   644.0  0.0281       1.229      0.3000
15.4799   646.0  0.0283       1.240      0.2949
15.4321   648.0  0.0286       1.251      0.2899
15.3846   650.0  0.0288       1.262      0.2850
15.3374   652.0  0.0291       1.272      0.2802
15.2905   654.0  0.0295       1.283      0.2756
15.2439   656.0  0.0298       1.293      0.2710
15.1976   658.0  0.0302       1.302      0.2664
15.1515   660.0  0.0307       1.312      0.2620
15.1057   662.0  0.0311       1.322      0.2576
15.0602   664.0  0.0316       1.331      0.2533
15.0150   666.0  0.0322       1.341      0.2492
14.9701   668.0  0.0327       1.350      0.2451
14.9254   670.0  0.0333       1.359      0.2411
14.8810   672.0  0.0339       1.369      0.2372
14.8368   674.0  0.0346       1.378      0.2334
14.7929   676.0  0.0352       1.387      0.2298
14.7493   678.0  0.0359       1.396      0.2263
14.7059   680.0  0.0367       1.406      0.2229
14.6628   682.0  0.0375       1.415      0.2197
14.6199   684.0  0.0383       1.424      0.2167
14.5773   686.0  0.0391       1.433      0.2139
14.5349   688.0  0.0400       1.443      0.2113
14.4928   690.0  0.0409       1.452      0.2089
14.4509   692.0  0.0419       1.461      0.2068
14.4092   694.0  0.0429       1.471      0.2049
14.3678   696.0  0.0439       1.480      0.2033
14.3266   698.0  0.0450       1.490      0.2021
14.2857   700.0  0.0461       1.499      0.2012
14.2450   702.0  0.0472       1.509      0.2006
14.2045   704.0  0.0484       1.518      0.2005
14.1643   706.0  0.0496       1.528      0.2008
14.1243   708.0  0.0508       1.537      0.2016
14.0845   710.0  0.0521       1.546      0.2030
14.0449   712.0  0.0533       1.556      0.2049
14.0056   714.0  0.0546       1.565      0.2074
13.9665   716.0  0.0560       1.573      0.2107
13.9276   718.0  0.0573       1.582      0.2146
13.8889   720.0  0.0586       1.590      0.2193
13.8504   722.0  0.0599       1.597      0.2248
13.8122   724.0  0.0611       1.603      0.2311
13.7741   726.0  0.0622       1.608      0.2381
13.7363   728.0  0.0633       1.613      0.2458
13.6986   730.0  0.0642       1.615      0.2539
13.6612   732.0  0.0649       1.616      0.2622
13.6240   734.0  0.0653       1.615      0.2703
13.5870   736.0  0.0655       1.612      0.2779
13.5501   738.0  0.0653       1.607      0.2844
13.5135   740.0  0.0649       1.600      0.2892
13.4771   742.0  0.0640       1.592      0.2920
13.4409   744.0  0.0629       1.583      0.2923
13.4048   746.0  0.0616       1.574      0.2899
13.3690   748.0  0.0601       1.565      0.2850
13.3333   750.0  0.0586       1.557      0.2777
13.2979   752.0  0.0571       1.551      0.2686
13.2626   754.0  0.0558       1.547      0.2581
13.2275   756.0  0.0547       1.545      0.2467
13.1926   758.0  0.0538       1.544      0.2349
13.1579   760.0  0.0532       1.546      0.2231
13.1234   762.0  0.0529       1.549      0.2117
13.0890   764.0  0.0527       1.553      0.2007
13.0548   766.0  0.0529       1.558      0.1904
13.0208   768.0  0.0532       1.565      0.1808
12.9870   770.0  0.0536       1.572      0.1719
12.9534   772.0  0.0542       1.579      0.1637
12.9199   774.0  0.0549       1.587      0.1562
12.8866   776.0  0.0557       1.595      0.1494
12.8535   778.0  0.0566       1.604      0.1432
12.8205   780.0  0.0576       1.612      0.1375
12.7877   782.0  0.0586       1.621      0.1324
12.7551   784.0  0.0596       1.630      0.1277
12.7226   786.0  0.0607       1.639      0.1234
12.6904   788.0  0.0618       1.648      0.1195
12.6582   790.0  0.0629       1.657      0.1160
12.6263   792.0  0.0640       1.666      0.1128
12.5945   794.0  0.0652       1.675      0.1098
12.5628   796.0  0.0663       1.683      0.1072
12.5313   798.0  0.0675       1.692      0.1047
12.5000   800.0  0.0687       1.701      0.1025
12.4688   802.0  0.0699       1.710      0.1005
12.4378   804.0  0.0711       1.719     0.09865
12.4069   806.0  0.0723       1.727     0.09699
12.3762   808.0  0.0735       1.736     0.09549
12.3457   810.0  0.0747       1.745     0.09414
12.3153   812.0  0.0760       1.754     0.09293
12.2850   814.0  0.0772       1.763     0.09186
12.2549   816.0  0.0785       1.771     0.09091
12.2249   818.0  0.0797       1.780     0.09009
12.1951   820.0  0.0810       1.789     0.08939
12.1655   822.0  0.0823       1.798     0.08880
12.1359   824.0  0.0835       1.807     0.08832
12.1065   826.0  0.0848       1.816     0.08795
12.0773   828.0  0.0862       1.825     0.08768
12.0482   830.0  0.0875       1.834     0.08753
12.0192   832.0  0.0888       1.843     0.08748
11.9904   834.0  0.0902       1.853     0.08753
11.9617   836.0  0.0916       1.862     0.08770
11.9332   838.0  0.0930       1.872     0.08797
11.9048   840.0  0.0944       1.881     0.08836
11.8765   842.0  0.0959       1.891     0.08887
11.8483   844.0  0.0973       1.901     0.08949
11.8203   846.0  0.0988       1.911     0.09025
11.7925   848.0  0.1003       1.921     0.09114
11.7647   850.0  0.1019       1.932     0.09216
11.7371   852.0  0.1035       1.942     0.09334
11.7096   854.0  0.1051       1.953     0.09468
11.6822   856.0  0.1067       1.964     0.09620
11.6550   858.0  0.1084       1.975     0.09790
11.6279   860.0  0.1102       1.987     0.09981
11.6009   862.0  0.1120       1.999      0.1019
11.5741   864.0  0.1138       2.011      0.1043
11.5473   866.0  0.1157       2.023      0.1070
11.5207   868.0  0.1176       2.036      0.1099
11.4943   870.0  0.1196       2.049      0.1133
11.4679   872.0  0.1217       2.063      0.1170
11.4416   874.0  0.1238       2.077      0.1211
11.4155   876.0  0.1260       2.091      0.1257
11.3895   878.0  0.1284       2.106      0.1309
11.3636   880.0  0.1307       2.121      0.1368
11.3379   882.0  0.1332       2.137      0.1435
11.3122   884.0  0.1358       2.154      0.1510
11.2867   886.0  0.1385       2.171      0.1596
11.2613   888.0  0.1414       2.189      0.1694
11.2360   890.0  0.1443       2.207      0.1807
11.2108   892.0  0.1474       2.225      0.1938
11.1857   894.0  0.1506       2.244      0.2089
11.1607   896.0  0.1540       2.264      0.2264
11.1359   898.0  0.1574       2.283      0.2469
11.1111   900.0  0.1610       2.301      0.2707
11.0865   902.0  0.1646       2.318      0.2985
11.0619   904.0  0.1681       2.333      0.3306
11.0375   906.0  0.1714       2.343      0.3674
11.0132   908.0  0.1744       2.348      0.4084
10.9890   910.0  0.1767       2.344      0.4527
10.9649   912.0  0.1779       2.330      0.4978
10.9409   914.0  0.1777       2.304      0.5398
10.9170   916.0  0.1757       2.266      0.5738
10.8932   918.0  0.1717       2.219      0.5948
10.8696   920.0  0.1659       2.169      0.5996
10.8460   922.0  0.1590       2.122      0.5879
10.8225   924.0  0.1518       2.084      0.5627
10.7991   926.0  0.1453       2.059      0.5288
10.7759   928.0  0.1403       2.046      0.4912
10.7527   930.0  0.1369       2.045      0.4539
10.7296   932.0  0.1354       2.054      0.4195
10.7066   934.0  0.1353       2.070      0.3895
10.6838   936.0  0.1366       2.091      0.3644
10.6610   938.0  0.1388       2.116      0.3440
10.6383   940.0  0.1418       2.144      0.3280
10.6157   942.0  0.1453       2.174      0.3161
10.5932   944.0  0.1492       2.205      0.3077
10.5708   946.0  0.1535       2.238      0.3024
10.5485   948.0  0.1581       2.271      0.3001
10.5263   950.0  0.1629       2.305      0.3004
10.5042   952.0  0.1679       2.340      0.3033
10.4822   954.0  0.1731       2.377      0.3085
10.4603   956.0  0.1786       2.414      0.3162
10.4384   958.0  0.1842       2.452      0.3262
10.4167   960.0  0.1901       2.492      0.3388
10.3950   962.0  0.1963       2.533      0.3542
10.3734   964.0  0.2027       2.575      0.3724
10.3520   966.0  0.2095       2.619      0.3939
10.3306   968.0  0.2166       2.665      0.4191
10.3093   970.0  0.2240       2.712      0.4484
10.2881   972.0  0.2319       2.761      0.4826
10.2669   974.0  0.2402       2.812      0.5223
10.2459   976.0  0.2490       2.864      0.5685
10.2249   978.0  0.2583       2.918      0.6224
10.2041   980.0  0.2682       2.972      0.6852
10.1833   982.0  0.2787       3.024      0.7584
10.1626   984.0  0.2897       3.075      0.8434
10.1420   986.0  0.3013       3.120      0.9419
