Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurments parallel to the b
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-320 inverse centimeters.

high frq. dielec. const=  2.553
Lorentz line parameters
center  width  strength
1067.2  0.0182  0.0110
1015.6  0.0234  0.1680
 987.6  0.0311  0.3250
 908.7  0.0190  0.0170
 744.2  0.0853  0.0730
 559.3  0.1919  0.2360
 527.6  0.0593  0.7110
 470.1  0.0527  0.4040
 409.7  0.0759  0.6970
 353.5  0.0553  0.0680

 wave.    freq.   calc.       real       imag.
micron    (cm-1)  refl.       index     index
31.2500   320.0  0.2178       2.746     0.09869
31.0559   322.0  0.2196       2.759      0.1032
30.8642   324.0  0.2214       2.773      0.1083
30.6748   326.0  0.2233       2.787      0.1139
30.4878   328.0  0.2253       2.801      0.1203
30.3030   330.0  0.2274       2.817      0.1275
30.1205   332.0  0.2297       2.833      0.1358
29.9401   334.0  0.2320       2.850      0.1455
29.7619   336.0  0.2345       2.868      0.1570
29.5858   338.0  0.2371       2.886      0.1707
29.4118   340.0  0.2397       2.905      0.1873
29.2398   342.0  0.2424       2.923      0.2074
29.0698   344.0  0.2450       2.940      0.2320
28.9017   346.0  0.2473       2.952      0.2613
28.7356   348.0  0.2489       2.958      0.2945
28.5714   350.0  0.2493       2.953      0.3282
28.4091   352.0  0.2482       2.937      0.3559
28.2486   354.0  0.2458       2.913      0.3704
28.0899   356.0  0.2430       2.891      0.3690
27.9330   358.0  0.2411       2.880      0.3561
27.7778   360.0  0.2407       2.881      0.3392
27.6243   362.0  0.2418       2.894      0.3241
27.4725   364.0  0.2440       2.914      0.3136
27.3224   366.0  0.2470       2.939      0.3086
27.1739   368.0  0.2505       2.968      0.3088
27.0270   370.0  0.2544       2.998      0.3136
26.8817   372.0  0.2586       3.031      0.3228
26.7380   374.0  0.2629       3.064      0.3359
26.5957   376.0  0.2675       3.098      0.3531
26.4550   378.0  0.2724       3.133      0.3743
26.3158   380.0  0.2774       3.170      0.3999
26.1780   382.0  0.2827       3.207      0.4303
26.0417   384.0  0.2882       3.245      0.4661
