Binning: 1 channel
Deadtime Correction: on
Channel	Mass (u)	Intensity
129118	14.999871	0
129119	15.000101	0
129120	15.000332	0
129121	15.000562	0
129122	15.000793	0
129123	15.001024	0
129124	15.001254	0
129125	15.001485	0
129126	15.001715	0
129127	15.001946	0
129128	15.002177	0
129129	15.002407	0
129130	15.002638	0
129131	15.002868	1
129132	15.003099	0
129133	15.003330	0
129134	15.003560	0
129135	15.003791	0
129136	15.004021	0
129137	15.004252	0
129138	15.004483	0
129139	15.004713	0
129140	15.004944	0
129141	15.005175	0
129142	15.005405	0
129143	15.005636	0
129144	15.005866	0
129145	15.006097	0
129146	15.006328	0
129147	15.006558	0
129148	15.006789	0
129149	15.007020	0
129150	15.007250	0
129151	15.007481	1
129152	15.007711	0
129153	15.007942	1
129154	15.008173	1
129155	15.008403	0
129156	15.008634	0
129157	15.008865	0
129158	15.009095	0
129159	15.009326	1
129160	15.009557	0
129161	15.009787	0
129162	15.010018	0
129163	15.010249	0
129164	15.010479	0
129165	15.010710	0
129166	15.010941	0
129167	15.011171	2
129168	15.011402	0
129169	15.011633	0
129170	15.011863	0
129171	15.012094	0
129172	15.012325	0
129173	15.012555	0
129174	15.012786	0
129175	15.013017	0
129176	15.013247	1
129177	15.013478	0
129178	15.013709	1
129179	15.013939	1
129180	15.014170	2
129181	15.014401	0
129182	15.014632	0
129183	15.014862	1
129184	15.015093	1
129185	15.015324	1
129186	15.015554	0
129187	15.015785	0
129188	15.016016	4
129189	15.016246	1
129190	15.016477	3
129191	15.016708	0
129192	15.016939	1
129193	15.017169	7
129194	15.017400	9
129195	15.017631	13
129196	15.017861	13
129197	15.018092	14
129198	15.018323	23
129199	15.018554	24
129200	15.018784	27
129201	15.019015	25
129202	15.019246	16
129203	15.019476	31
129204	15.019707	34
129205	15.019938	36
129206	15.020169	59
129207	15.020399	119
129208	15.020630	205
129209	15.020861	308
129210	15.021092	522
129211	15.021322	851
129212	15.021553	1309
129213	15.021784	1959
129214	15.022015	2722
129215	15.022245	3601
129216	15.022476	4635
129217	15.022707	5537
129218	15.022938	6455
129219	15.023168	6992
129220	15.023399	7145
129221	15.023630	7112
129222	15.023861	6670
129223	15.024091	5819
129224	15.024322	4962
129225	15.024553	4238
129226	15.024784	3359
129227	15.025015	2555
129228	15.025245	1958
129229	15.025476	1609
129230	15.025707	1200
129231	15.025938	894
129232	15.026168	667
129233	15.026399	495
129234	15.026630	345
129235	15.026861	264
129236	15.027092	185
129237	15.027322	155
129238	15.027553	101
129239	15.027784	86
129240	15.028015	72
129241	15.028246	63
129242	15.028476	55
129243	15.028707	41
129244	15.028938	29
129245	15.029169	26
129246	15.029400	18
129247	15.029630	20
129248	15.029861	22
129249	15.030092	21
129250	15.030323	14
129251	15.030554	7
129252	15.030784	5
129253	15.031015	10
129254	15.031246	6
129255	15.031477	4
129256	15.031708	7
129257	15.031939	7
129258	15.032169	5
129259	15.032400	2
129260	15.032631	4
129261	15.032862	2
129262	15.033093	3
129263	15.033324	4
129264	15.033554	2
129265	15.033785	4
129266	15.034016	6
129267	15.034247	3
129268	15.034478	7
129269	15.034709	1
129270	15.034939	3
129271	15.035170	1
129272	15.035401	1
129273	15.035632	3
129274	15.035863	2
129275	15.036094	3
129276	15.036325	5
129277	15.036555	0
129278	15.036786	3
129279	15.037017	2
129280	15.037248	4
129281	15.037479	0
129282	15.037710	1
129283	15.037941	4
129284	15.038172	0
129285	15.038402	0
129286	15.038633	1
129287	15.038864	2
129288	15.039095	0
129289	15.039326	2
129290	15.039557	0
129291	15.039788	1
129292	15.040019	0
129293	15.040250	1
129294	15.040480	0
129295	15.040711	2
129296	15.040942	1
129297	15.041173	0
129298	15.041404	0
129299	15.041635	0
129300	15.041866	1
129301	15.042097	0
129302	15.042328	0
129303	15.042559	4
129304	15.042789	0
129305	15.043020	0
129306	15.043251	1
129307	15.043482	0
129308	15.043713	0
129309	15.043944	0
129310	15.044175	1
129311	15.044406	0
129312	15.044637	0
129313	15.044868	3
129314	15.045099	0
129315	15.045330	1
129316	15.045560	0
129317	15.045791	2
129318	15.046022	1
129319	15.046253	0
129320	15.046484	1
129321	15.046715	1
129322	15.046946	0
129323	15.047177	1
129324	15.047408	1
129325	15.047639	0
129326	15.047870	0
129327	15.048101	0
129328	15.048332	1
129329	15.048563	0
129330	15.048794	0
129331	15.049025	0
129332	15.049256	1
129333	15.049487	1
129334	15.049718	0
129335	15.049949	0
