Binning: 1 channel
Deadtime Correction: on
Channel	Mass (u)	Intensity
159944	22.949802	0
159945	22.950088	0
159946	22.950373	0
159947	22.950658	0
159948	22.950943	0
159949	22.951228	0
159950	22.951514	0
159951	22.951799	0
159952	22.952084	0
159953	22.952369	0
159954	22.952655	0
159955	22.952940	0
159956	22.953225	0
159957	22.953510	0
159958	22.953795	0
159959	22.954081	0
159960	22.954366	0
159961	22.954651	0
159962	22.954936	0
159963	22.955222	0
159964	22.955507	0
159965	22.955792	0
159966	22.956077	0
159967	22.956363	0
159968	22.956648	0
159969	22.956933	0
159970	22.957218	0
159971	22.957504	0
159972	22.957789	0
159973	22.958074	0
159974	22.958359	0
159975	22.958645	0
159976	22.958930	0
159977	22.959215	0
159978	22.959501	0
159979	22.959786	0
159980	22.960071	0
159981	22.960356	0
159982	22.960642	0
159983	22.960927	0
159984	22.961212	0
159985	22.961498	0
159986	22.961783	1
159987	22.962068	0
159988	22.962353	0
159989	22.962639	0
159990	22.962924	0
159991	22.963209	0
159992	22.963495	0
159993	22.963780	0
159994	22.964065	0
159995	22.964350	0
159996	22.964636	0
159997	22.964921	0
159998	22.965206	0
159999	22.965492	0
160000	22.965777	0
160001	22.966062	0
160002	22.966348	0
160003	22.966633	0
160004	22.966918	0
160005	22.967204	1
160006	22.967489	0
160007	22.967774	0
160008	22.968060	0
160009	22.968345	0
160010	22.968630	0
160011	22.968916	0
160012	22.969201	0
160013	22.969486	1
160014	22.969772	0
160015	22.970057	0
160016	22.970342	0
160017	22.970628	0
160018	22.970913	0
160019	22.971198	0
160020	22.971484	0
160021	22.971769	0
160022	22.972054	0
160023	22.972340	0
160024	22.972625	0
160025	22.972910	0
160026	22.973196	0
160027	22.973481	0
160028	22.973766	0
160029	22.974052	0
160030	22.974337	0
160031	22.974623	0
160032	22.974908	0
160033	22.975193	0
160034	22.975479	0
160035	22.975764	0
160036	22.976049	0
160037	22.976335	0
160038	22.976620	0
160039	22.976906	0
160040	22.977191	0
160041	22.977476	0
160042	22.977762	1
160043	22.978047	0
160044	22.978332	0
160045	22.978618	0
160046	22.978903	1
160047	22.979189	0
160048	22.979474	0
160049	22.979759	0
160050	22.980045	1
160051	22.980330	2
160052	22.980616	1
160053	22.980901	1
160054	22.981186	1
160055	22.981472	0
160056	22.981757	0
160057	22.982043	1
160058	22.982328	1
160059	22.982614	1
160060	22.982899	0
160061	22.983184	1
160062	22.983470	2
160063	22.983755	0
160064	22.984041	0
160065	22.984326	0
160066	22.984611	0
160067	22.984897	0
160068	22.985182	1
160069	22.985468	0
160070	22.985753	1
160071	22.986039	7
160072	22.986324	4
160073	22.986610	1
160074	22.986895	8
160075	22.987180	16
160076	22.987466	22
160077	22.987751	31
160078	22.988037	56
160079	22.988322	118
160080	22.988608	205
160081	22.988893	334
160082	22.989179	534
160083	22.989464	753
160084	22.989749	987
160085	22.990035	1376
160086	22.990320	1819
160087	22.990606	2244
160088	22.990891	2648
160089	22.991177	3117
160090	22.991462	3360
160091	22.991748	3595
160092	22.992033	3627
160093	22.992319	3759
160094	22.992604	3756
160095	22.992890	3599
160096	22.993175	3273
160097	22.993461	3001
160098	22.993746	2788
160099	22.994032	2399
160100	22.994317	2130
160101	22.994603	1904
160102	22.994888	1569
160103	22.995174	1396
160104	22.995459	1132
160105	22.995745	1035
160106	22.996030	915
160107	22.996316	819
160108	22.996601	686
160109	22.996887	659
160110	22.997172	517
160111	22.997458	471
160112	22.997743	454
160113	22.998029	422
160114	22.998314	411
160115	22.998600	345
160116	22.998885	315
160117	22.999171	315
160118	22.999456	290
160119	22.999742	282
160120	23.000027	285
160121	23.000313	251
160122	23.000598	234
160123	23.000884	243
160124	23.001169	223
160125	23.001455	196
160126	23.001740	179
160127	23.002026	209
160128	23.002311	203
160129	23.002597	202
160130	23.002883	176
160131	23.003168	161
160132	23.003454	171
160133	23.003739	188
160134	23.004025	162
160135	23.004310	145
160136	23.004596	158
160137	23.004881	158
160138	23.005167	136
160139	23.005453	155
160140	23.005738	128
160141	23.006024	175
160142	23.006309	130
160143	23.006595	109
160144	23.006880	151
160145	23.007166	118
160146	23.007451	131
160147	23.007737	120
160148	23.008023	116
160149	23.008308	131
160150	23.008594	122
160151	23.008879	100
160152	23.009165	112
160153	23.009451	121
160154	23.009736	116
160155	23.010022	97
160156	23.010307	84
160157	23.010593	99
160158	23.010878	85
160159	23.011164	99
160160	23.011450	97
160161	23.011735	79
160162	23.012021	80
160163	23.012306	80
160164	23.012592	93
160165	23.012878	82
160166	23.013163	92
160167	23.013449	74
160168	23.013734	82
160169	23.014020	103
160170	23.014306	90
160171	23.014591	93
160172	23.014877	75
160173	23.015163	68
160174	23.015448	73
160175	23.015734	66
160176	23.016019	90
160177	23.016305	60
160178	23.016591	66
160179	23.016876	81
160180	23.017162	77
160181	23.017448	72
160182	23.017733	75
160183	23.018019	63
160184	23.018304	70
160185	23.018590	58
160186	23.018876	62
160187	23.019161	59
160188	23.019447	63
160189	23.019733	64
160190	23.020018	56
160191	23.020304	65
160192	23.020590	59
160193	23.020875	56
160194	23.021161	56
160195	23.021447	51
160196	23.021732	56
160197	23.022018	61
160198	23.022304	65
160199	23.022589	45
160200	23.022875	55
160201	23.023161	54
160202	23.023446	54
160203	23.023732	50
160204	23.024018	32
160205	23.024303	46
160206	23.024589	43
160207	23.024875	49
160208	23.025160	53
160209	23.025446	46
160210	23.025732	36
160211	23.026017	51
160212	23.026303	48
160213	23.026589	54
160214	23.026874	50
160215	23.027160	34
160216	23.027446	47
160217	23.027731	38
160218	23.028017	43
160219	23.028303	42
160220	23.028589	38
160221	23.028874	47
160222	23.029160	55
160223	23.029446	48
160224	23.029731	34
160225	23.030017	40
160226	23.030303	39
160227	23.030589	33
160228	23.030874	43
160229	23.031160	33
160230	23.031446	48
160231	23.031731	50
160232	23.032017	42
160233	23.032303	41
160234	23.032589	37
160235	23.032874	37
160236	23.033160	35
160237	23.033446	35
160238	23.033732	33
160239	23.034017	32
160240	23.034303	36
160241	23.034589	27
160242	23.034874	29
160243	23.035160	41
160244	23.035446	45
160245	23.035732	34
160246	23.036017	26
160247	23.036303	39
160248	23.036589	34
160249	23.036875	33
160250	23.037160	40
160251	23.037446	33
160252	23.037732	28
160253	23.038018	30
160254	23.038303	28
160255	23.038589	29
160256	23.038875	29
160257	23.039161	31
160258	23.039447	17
160259	23.039732	26
160260	23.040018	30
160261	23.040304	29
160262	23.040590	15
160263	23.040875	33
160264	23.041161	40
160265	23.041447	37
160266	23.041733	26
160267	23.042019	25
160268	23.042304	20
160269	23.042590	30
160270	23.042876	28
160271	23.043162	23
160272	23.043447	21
160273	23.043733	28
160274	23.044019	24
160275	23.044305	23
160276	23.044591	26
160277	23.044876	25
160278	23.045162	15
160279	23.045448	17
160280	23.045734	26
160281	23.046020	23
160282	23.046306	16
160283	23.046591	31
160284	23.046877	35
160285	23.047163	21
160286	23.047449	30
160287	23.047735	21
160288	23.048020	32
160289	23.048306	17
160290	23.048592	37
160291	23.048878	24
160292	23.049164	13
160293	23.049450	23
160294	23.049735	24
