Binning: 1 channel
Deadtime Correction: on
Channel	Mass (u)	Intensity
176612	27.949919	2
176613	27.950234	1
176614	27.950549	0
176615	27.950863	1
176616	27.951178	1
176617	27.951493	2
176618	27.951808	2
176619	27.952122	2
176620	27.952437	0
176621	27.952752	1
176622	27.953067	1
176623	27.953382	1
176624	27.953696	3
176625	27.954011	3
176626	27.954326	4
176627	27.954641	1
176628	27.954955	2
176629	27.955270	8
176630	27.955585	3
176631	27.955900	5
176632	27.956215	6
176633	27.956529	2
176634	27.956844	1
176635	27.957159	4
176636	27.957474	1
176637	27.957789	2
176638	27.958103	2
176639	27.958418	3
176640	27.958733	3
176641	27.959048	5
176642	27.959363	5
176643	27.959677	3
176644	27.959992	4
176645	27.960307	4
176646	27.960622	6
176647	27.960937	2
176648	27.961251	7
176649	27.961566	3
176650	27.961881	7
176651	27.962196	10
176652	27.962511	7
176653	27.962826	2
176654	27.963140	8
176655	27.963455	8
176656	27.963770	2
176657	27.964085	5
176658	27.964400	8
176659	27.964715	4
176660	27.965029	1
176661	27.965344	10
176662	27.965659	3
176663	27.965974	2
176664	27.966289	4
176665	27.966604	7
176666	27.966918	8
176667	27.967233	8
176668	27.967548	4
176669	27.967863	6
176670	27.968178	7
176671	27.968493	8
176672	27.968808	5
176673	27.969122	6
176674	27.969437	9
176675	27.969752	8
176676	27.970067	9
176677	27.970382	12
176678	27.970697	6
176679	27.971012	6
176680	27.971326	6
176681	27.971641	10
176682	27.971956	13
176683	27.972271	14
176684	27.972586	13
176685	27.972901	17
176686	27.973216	17
176687	27.973531	23
176688	27.973846	46
176689	27.974160	60
176690	27.974475	88
176691	27.974790	182
176692	27.975105	263
176693	27.975420	419
176694	27.975735	618
176695	27.976050	905
176696	27.976365	1242
176697	27.976680	1609
176698	27.976994	1955
176699	27.977309	2454
176700	27.977624	2836
176701	27.977939	3169
176702	27.978254	3383
176703	27.978569	3506
176704	27.978884	3417
176705	27.979199	3385
176706	27.979514	2874
176707	27.979829	2697
176708	27.980144	2411
176709	27.980459	1957
176710	27.980773	1637
176711	27.981088	1426
176712	27.981403	1053
176713	27.981718	830
176714	27.982033	596
176715	27.982348	480
176716	27.982663	327
176717	27.982978	281
176718	27.983293	205
176719	27.983608	140
176720	27.983923	126
176721	27.984238	81
176722	27.984553	54
176723	27.984868	57
176724	27.985183	31
176725	27.985498	19
176726	27.985813	17
176727	27.986127	12
176728	27.986442	11
176729	27.986757	17
176730	27.987072	12
176731	27.987387	11
176732	27.987702	6
176733	27.988017	16
176734	27.988332	13
176735	27.988647	17
176736	27.988962	17
176737	27.989277	30
176738	27.989592	28
176739	27.989907	31
176740	27.990222	30
176741	27.990537	51
176742	27.990852	37
176743	27.991167	35
176744	27.991482	46
176745	27.991797	33
176746	27.992112	40
176747	27.992427	43
176748	27.992742	43
176749	27.993057	20
176750	27.993372	19
176751	27.993687	25
176752	27.994002	18
176753	27.994317	22
176754	27.994632	27
176755	27.994947	28
176756	27.995262	25
176757	27.995577	19
176758	27.995892	25
176759	27.996207	26
176760	27.996522	23
176761	27.996837	23
176762	27.997152	28
176763	27.997467	19
176764	27.997782	20
176765	27.998097	20
176766	27.998412	18
176767	27.998727	15
176768	27.999042	16
176769	27.999357	13
176770	27.999672	12
176771	27.999987	13
