Binning: 1 channel
Deadtime Correction: on
Channel	Mass (u)	Intensity
346259	106.849871	7
346260	106.850487	6
346261	106.851102	7
346262	106.851718	9
346263	106.852333	8
346264	106.852949	4
346265	106.853564	6
346266	106.854179	5
346267	106.854795	11
346268	106.855410	9
346269	106.856026	11
346270	106.856641	17
346271	106.857257	8
346272	106.857872	6
346273	106.858487	7
346274	106.859103	8
346275	106.859718	9
346276	106.860334	13
346277	106.860949	12
346278	106.861565	9
346279	106.862180	10
346280	106.862796	5
346281	106.863411	13
346282	106.864026	7
346283	106.864642	11
346284	106.865257	8
346285	106.865873	10
346286	106.866488	10
346287	106.867104	9
346288	106.867719	14
346289	106.868335	8
346290	106.868950	12
346291	106.869566	11
346292	106.870181	9
346293	106.870797	7
346294	106.871412	11
346295	106.872027	6
346296	106.872643	11
346297	106.873258	11
346298	106.873874	12
346299	106.874489	17
346300	106.875105	11
346301	106.875720	10
346302	106.876336	11
346303	106.876951	9
346304	106.877567	12
346305	106.878182	18
346306	106.878798	17
346307	106.879413	5
346308	106.880029	10
346309	106.880644	12
346310	106.881260	13
346311	106.881875	22
346312	106.882491	18
346313	106.883106	17
346314	106.883722	14
346315	106.884337	12
346316	106.884953	21
346317	106.885568	16
346318	106.886184	18
346319	106.886799	26
346320	106.887415	16
346321	106.888030	17
346322	106.888646	22
346323	106.889262	13
346324	106.889877	21
346325	106.890493	21
346326	106.891108	23
346327	106.891724	28
346328	106.892339	19
346329	106.892955	18
346330	106.893570	28
346331	106.894186	18
346332	106.894801	20
346333	106.895417	22
346334	106.896032	22
346335	106.896648	27
346336	106.897264	27
346337	106.897879	40
346338	106.898495	52
346339	106.899110	60
346340	106.899726	72
346341	106.900341	116
346342	106.900957	189
346343	106.901572	276
346344	106.902188	350
346345	106.902804	568
346346	106.903419	830
346347	106.904035	1048
346348	106.904650	1510
346349	106.905266	1873
346350	106.905881	2544
346351	106.906497	3184
346352	106.907113	3808
346353	106.907728	4573
346354	106.908344	5405
346355	106.908959	6286
346356	106.909575	6716
346357	106.910190	7360
346358	106.910806	7987
346359	106.911422	8397
346360	106.912037	8572
346361	106.912653	8357
346362	106.913268	8758
346363	106.913884	8510
346364	106.914500	8325
346365	106.915115	8026
346366	106.915731	7623
346367	106.916346	7214
346368	106.916962	6666
346369	106.917578	6263
346370	106.918193	5572
346371	106.918809	5140
346372	106.919424	4709
346373	106.920040	4123
346374	106.920656	3670
346375	106.921271	3276
346376	106.921887	2937
346377	106.922503	2467
346378	106.923118	2192
346379	106.923734	1815
346380	106.924349	1627
346381	106.924965	1398
346382	106.925581	1180
346383	106.926196	1050
346384	106.926812	876
346385	106.927428	788
346386	106.928043	692
346387	106.928659	598
346388	106.929274	500
346389	106.929890	413
346390	106.930506	354
346391	106.931121	278
346392	106.931737	263
346393	106.932353	241
346394	106.932968	206
346395	106.933584	201
346396	106.934200	179
346397	106.934815	137
346398	106.935431	150
346399	106.936047	136
346400	106.936662	98
346401	106.937278	90
346402	106.937894	84
346403	106.938509	67
346404	106.939125	85
346405	106.939741	60
346406	106.940356	63
346407	106.940972	61
346408	106.941588	55
346409	106.942203	50
346410	106.942819	51
346411	106.943435	42
346412	106.944050	42
346413	106.944666	42
346414	106.945282	41
346415	106.945897	33
346416	106.946513	41
346417	106.947129	35
346418	106.947745	39
346419	106.948360	29
346420	106.948976	34
346421	106.949592	29
