Binning: 1 channel
Deadtime Correction: on
Channel	Mass (u)	Intensity
211341	39.949749	9
211342	39.950125	11
211343	39.950502	7
211344	39.950878	7
211345	39.951254	16
211346	39.951630	14
211347	39.952007	12
211348	39.952383	9
211349	39.952759	14
211350	39.953136	16
211351	39.953512	19
211352	39.953888	19
211353	39.954265	22
211354	39.954641	21
211355	39.955017	25
211356	39.955394	26
211357	39.955770	19
211358	39.956146	27
211359	39.956523	57
211360	39.956899	84
211361	39.957275	129
211362	39.957652	172
211363	39.958028	348
211364	39.958404	551
211365	39.958781	935
211366	39.959157	1366
211367	39.959533	2325
211368	39.959910	3343
211369	39.960286	4817
211370	39.960662	6922
211371	39.961039	9416
211372	39.961415	12392
211373	39.961791	15384
211374	39.962168	18636
211375	39.962544	21535
211376	39.962921	24007
211377	39.963297	25408
211378	39.963673	26863
211379	39.964050	26690
211380	39.964426	26083
211381	39.964802	24731
211382	39.965179	22776
211383	39.965555	20165
211384	39.965932	17894
211385	39.966308	15305
211386	39.966684	12985
211387	39.967061	10790
211388	39.967437	8787
211389	39.967813	7117
211390	39.968190	5701
211391	39.968566	4533
211392	39.968943	3537
211393	39.969319	2771
211394	39.969695	2255
211395	39.970072	1750
211396	39.970448	1348
211397	39.970825	1089
211398	39.971201	783
211399	39.971577	649
211400	39.971954	506
211401	39.972330	458
211402	39.972707	392
211403	39.973083	315
211404	39.973459	273
211405	39.973836	214
211406	39.974212	211
211407	39.974589	168
211408	39.974965	174
211409	39.975342	105
211410	39.975718	134
211411	39.976094	121
211412	39.976471	91
211413	39.976847	127
211414	39.977224	93
211415	39.977600	77
211416	39.977977	88
211417	39.978353	81
211418	39.978729	98
211419	39.979106	76
211420	39.979482	76
211421	39.979859	70
211422	39.980235	80
211423	39.980612	66
211424	39.980988	74
211425	39.981365	62
211426	39.981741	70
211427	39.982117	69
211428	39.982494	81
211429	39.982870	86
211430	39.983247	67
211431	39.983623	71
211432	39.984000	57
211433	39.984376	92
211434	39.984753	75
211435	39.985129	70
211436	39.985506	92
211437	39.985882	79
211438	39.986259	78
211439	39.986635	100
211440	39.987012	91
211441	39.987388	81
211442	39.987764	93
211443	39.988141	108
211444	39.988517	106
211445	39.988894	118
211446	39.989270	99
211447	39.989647	116
211448	39.990023	99
211449	39.990400	98
211450	39.990776	103
211451	39.991153	88
211452	39.991529	105
211453	39.991906	79
211454	39.992282	88
211455	39.992659	108
211456	39.993035	72
211457	39.993412	95
211458	39.993788	96
211459	39.994165	97
211460	39.994541	101
211461	39.994918	80
211462	39.995294	76
211463	39.995671	75
211464	39.996047	62
211465	39.996424	67
211466	39.996801	71
211467	39.997177	63
211468	39.997554	57
211469	39.997930	61
211470	39.998307	76
211471	39.998683	75
211472	39.999060	43
211473	39.999436	51
211474	39.999813	64
