Binning: 1 channel
Deadtime Correction: on
Channel	Mass (u)	Intensity
163413	23.949870	0
163414	23.950161	0
163415	23.950452	0
163416	23.950744	0
163417	23.951035	0
163418	23.951326	0
163419	23.951618	0
163420	23.951909	0
163421	23.952201	0
163422	23.952492	0
163423	23.952783	0
163424	23.953075	0
163425	23.953366	0
163426	23.953658	0
163427	23.953949	0
163428	23.954240	0
163429	23.954532	0
163430	23.954823	0
163431	23.955114	0
163432	23.955406	0
163433	23.955697	0
163434	23.955989	0
163435	23.956280	0
163436	23.956571	0
163437	23.956863	0
163438	23.957154	0
163439	23.957446	1
163440	23.957737	0
163441	23.958028	0
163442	23.958320	1
163443	23.958611	0
163444	23.958903	0
163445	23.959194	0
163446	23.959486	0
163447	23.959777	0
163448	23.960068	0
163449	23.960360	0
163450	23.960651	0
163451	23.960943	0
163452	23.961234	1
163453	23.961526	0
163454	23.961817	0
163455	23.962108	1
163456	23.962400	1
163457	23.962691	0
163458	23.962983	0
163459	23.963274	1
163460	23.963566	0
163461	23.963857	0
163462	23.964148	0
163463	23.964440	3
163464	23.964731	0
163465	23.965023	0
163466	23.965314	0
163467	23.965606	0
163468	23.965897	0
163469	23.966189	0
163470	23.966480	0
163471	23.966772	1
163472	23.967063	0
163473	23.967355	0
163474	23.967646	0
163475	23.967937	0
163476	23.968229	1
163477	23.968520	1
163478	23.968812	0
163479	23.969103	1
163480	23.969395	0
163481	23.969686	1
163482	23.969978	0
163483	23.970269	0
163484	23.970561	2
163485	23.970852	0
163486	23.971144	1
163487	23.971435	0
163488	23.971727	0
163489	23.972018	0
163490	23.972310	0
163491	23.972601	0
163492	23.972893	0
163493	23.973184	0
163494	23.973476	0
163495	23.973767	0
163496	23.974059	0
163497	23.974350	2
163498	23.974642	1
163499	23.974933	0
163500	23.975225	0
163501	23.975516	0
163502	23.975808	0
163503	23.976099	0
163504	23.976391	0
163505	23.976682	0
163506	23.976974	0
163507	23.977265	1
163508	23.977557	0
163509	23.977848	0
163510	23.978140	1
163511	23.978432	2
163512	23.978723	0
163513	23.979015	0
163514	23.979306	1
163515	23.979598	0
163516	23.979889	0
163517	23.980181	3
163518	23.980472	1
163519	23.980764	1
163520	23.981055	2
163521	23.981347	3
163522	23.981639	1
163523	23.981930	3
163524	23.982222	6
163525	23.982513	10
163526	23.982805	24
163527	23.983096	30
163528	23.983388	46
163529	23.983679	85
163530	23.983971	155
163531	23.984263	252
163532	23.984554	369
163533	23.984846	503
163534	23.985137	732
163535	23.985429	885
163536	23.985720	1143
163537	23.986012	1307
163538	23.986304	1552
163539	23.986595	1609
163540	23.986887	1607
163541	23.987178	1702
163542	23.987470	1615
163543	23.987762	1494
163544	23.988053	1335
163545	23.988345	1210
163546	23.988636	993
163547	23.988928	830
163548	23.989220	671
163549	23.989511	544
163550	23.989803	410
163551	23.990094	333
163552	23.990386	238
163553	23.990678	197
163554	23.990969	156
163555	23.991261	140
163556	23.991552	106
163557	23.991844	63
163558	23.992136	68
163559	23.992427	40
163560	23.992719	41
163561	23.993010	28
163562	23.993302	35
163563	23.993594	25
163564	23.993885	14
163565	23.994177	24
163566	23.994469	21
163567	23.994760	17
163568	23.995052	18
163569	23.995344	12
163570	23.995635	19
163571	23.995927	11
163572	23.996218	12
163573	23.996510	11
163574	23.996802	8
163575	23.997093	16
163576	23.997385	5
163577	23.997677	11
163578	23.997968	9
163579	23.998260	8
163580	23.998552	4
163581	23.998843	11
163582	23.999135	8
163583	23.999427	12
163584	23.999718	14
