# Binning: 1 channel
# Deadtime Correction: on
# Channel	Mass (u)	Intensity
181813	28.904954	1
181814	28.905271	0
181815	28.905587	0
181816	28.905903	0
181817	28.906219	1
181818	28.906536	1
181819	28.906852	0
181820	28.907168	1
181821	28.907484	0
181822	28.907801	0
181823	28.908117	0
181824	28.908433	1
181825	28.908749	1
181826	28.909066	0
181827	28.909382	0
181828	28.909698	0
181829	28.910014	0
181830	28.910331	0
181831	28.910647	0
181832	28.910963	0
181833	28.911279	0
181834	28.911596	1
181835	28.911912	0
181836	28.912228	0
181837	28.912544	0
181838	28.912861	0
181839	28.913177	1
181840	28.913493	0
181841	28.913810	0
181842	28.914126	0
181843	28.914442	1
181844	28.914758	0
181845	28.915075	0
181846	28.915391	1
181847	28.915707	0
181848	28.916024	1
181849	28.916340	0
181850	28.916656	1
181851	28.916973	0
181852	28.917289	0
181853	28.917605	0
181854	28.917921	0
181855	28.918238	0
181856	28.918554	2
181857	28.918870	0
181858	28.919187	0
181859	28.919503	0
181860	28.919819	0
181861	28.920136	0
181862	28.920452	0
181863	28.920768	0
181864	28.921085	1
181865	28.921401	0
181866	28.921717	0
181867	28.922034	1
181868	28.922350	1
181869	28.922666	0
181870	28.922983	0
181871	28.923299	0
181872	28.923615	0
181873	28.923932	0
181874	28.924248	0
181875	28.924564	2
181876	28.924881	0
181877	28.925197	1
181878	28.925513	0
181879	28.925830	1
181880	28.926146	0
181881	28.926462	0
181882	28.926779	0
181883	28.927095	0
181884	28.927411	0
181885	28.927728	0
181886	28.928044	1
181887	28.928361	1
181888	28.928677	0
181889	28.928993	1
181890	28.929310	1
181891	28.929626	0
181892	28.929942	0
181893	28.930259	0
181894	28.930575	2
181895	28.930892	1
181896	28.931208	0
181897	28.931524	1
181898	28.931841	0
181899	28.932157	0
181900	28.932473	0
181901	28.932790	1
181902	28.933106	1
181903	28.933423	0
181904	28.933739	1
181905	28.934055	2
181906	28.934372	2
181907	28.934688	1
181908	28.935005	1
181909	28.935321	0
181910	28.935637	1
181911	28.935954	0
181912	28.936270	0
181913	28.936587	1
181914	28.936903	0
181915	28.937219	0
181916	28.937536	0
181917	28.937852	0
181918	28.938169	1
181919	28.938485	1
181920	28.938802	1
181921	28.939118	0
181922	28.939434	1
181923	28.939751	0
181924	28.940067	0
181925	28.940384	0
181926	28.940700	0
181927	28.941017	1
181928	28.941333	0
181929	28.941649	1
181930	28.941966	0
181931	28.942282	0
181932	28.942599	0
181933	28.942915	1
181934	28.943232	0
181935	28.943548	1
181936	28.943864	3
181937	28.944181	1
181938	28.944497	0
181939	28.944814	1
181940	28.945130	0
181941	28.945447	0
181942	28.945763	1
181943	28.946080	0
181944	28.946396	1
181945	28.946713	0
181946	28.947029	1
181947	28.947346	0
181948	28.947662	0
181949	28.947978	0
181950	28.948295	0
181951	28.948611	0
181952	28.948928	1
181953	28.949244	0
181954	28.949561	1
181955	28.949877	0
181956	28.950194	1
181957	28.950510	0
181958	28.950827	1
181959	28.951143	0
181960	28.951460	2
181961	28.951776	1
181962	28.952093	0
181963	28.952409	0
181964	28.952726	1
181965	28.953042	1
181966	28.953359	0
181967	28.953675	1
181968	28.953992	0
181969	28.954308	1
181970	28.954625	0
181971	28.954941	2
181972	28.955258	0
181973	28.955574	0
181974	28.955891	0
181975	28.956207	1
181976	28.956524	0
181977	28.956840	0
181978	28.957157	1
181979	28.957473	0
181980	28.957790	0
181981	28.958106	1
181982	28.958423	0
181983	28.958740	0
181984	28.959056	0
181985	28.959373	1
181986	28.959689	1
181987	28.960006	1
181988	28.960322	4
181989	28.960639	3
181990	28.960955	1
181991	28.961272	0
181992	28.961588	2
181993	28.961905	3
181994	28.962221	3
181995	28.962538	5
181996	28.962855	9
181997	28.963171	8
181998	28.963488	6
181999	28.963804	10
182000	28.964121	11
182001	28.964437	11
182002	28.964754	16
182003	28.965070	19
182004	28.965387	13
182005	28.965704	17
182006	28.966020	21
182007	28.966337	16
182008	28.966653	25
182009	28.966970	17
182010	28.967286	28
182011	28.967603	20
182012	28.967920	25
182013	28.968236	36
182014	28.968553	28
182015	28.968869	33
182016	28.969186	44
182017	28.969503	49
182018	28.969819	62
182019	28.970136	73
182020	28.970452	85
182021	28.970769	110
182022	28.971086	117
182023	28.971402	145
182024	28.971719	168
182025	28.972035	193
182026	28.972352	224
182027	28.972669	225
182028	28.972985	257
182029	28.973302	276
182030	28.973618	289
182031	28.973935	313
182032	28.974252	331
182033	28.974568	329
182034	28.974885	402
182035	28.975201	363
182036	28.975518	380
182037	28.975835	354
182038	28.976151	358
182039	28.976468	411
182040	28.976785	397
182041	28.977101	413
182042	28.977418	412
182043	28.977734	399
182044	28.978051	370
182045	28.978368	410
182046	28.978684	409
182047	28.979001	432
182048	28.979318	441
182049	28.979634	414
182050	28.979951	462
182051	28.980268	403
182052	28.980584	422
182053	28.980901	399
182054	28.981218	447
182055	28.981534	401
182056	28.981851	403
182057	28.982168	369
182058	28.982484	425
182059	28.982801	384
182060	28.983117	367
182061	28.983434	359
182062	28.983751	384
182063	28.984067	321
182064	28.984384	348
182065	28.984701	307
182066	28.985018	336
182067	28.985334	311
182068	28.985651	290
182069	28.985968	276
182070	28.986284	273
182071	28.986601	270
182072	28.986918	270
182073	28.987234	249
182074	28.987551	219
182075	28.987868	231
182076	28.988184	239
182077	28.988501	232
182078	28.988818	185
182079	28.989134	227
182080	28.989451	213
182081	28.989768	206
182082	28.990085	197
182083	28.990401	181
182084	28.990718	178
182085	28.991035	180
182086	28.991351	176
182087	28.991668	146
182088	28.991985	142
182089	28.992301	143
182090	28.992618	114
182091	28.992935	119
182092	28.993252	106
182093	28.993568	115
182094	28.993885	113
182095	28.994202	96
182096	28.994519	97
182097	28.994835	99
182098	28.995152	87
182099	28.995469	91
182100	28.995785	69
182101	28.996102	94
182102	28.996419	72
182103	28.996736	59
182104	28.997052	61
182105	28.997369	63
182106	28.997686	55
182107	28.998003	63
182108	28.998319	73
182109	28.998636	48
182110	28.998953	56
182111	28.999270	55
182112	28.999586	44
182113	28.999903	45
182114	29.000220	40
182115	29.000537	40
182116	29.000853	34
182117	29.001170	43
182118	29.001487	31
182119	29.001804	39
182120	29.002120	37
182121	29.002437	38
182122	29.002754	38
182123	29.003071	27
182124	29.003388	31
182125	29.003704	30
182126	29.004021	33
182127	29.004338	28
182128	29.004655	26
182129	29.004971	18
